bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1665.0,513.0,1152.0,30.81081081081081,69.1891891891892,1665.0,513.0,1152.0,0.3126009250062459,48.28164291701593,47.969041992009686,0.4453125
2.0,1665.0,1641.0,24.0,98.55855855855856,1.441441441441441,3330.0,2154.0,1176.0,1.3125582699092666,49.287510477787094,47.97495220787783,1.8316326530612246
3.0,1665.0,1638.0,27.0,98.37837837837837,1.6216216216216282,4995.0,3792.0,1203.0,2.3106875392274553,50.41911148365465,48.1084239444272,3.1521197007481296
4.0,1665.0,1646.0,19.0,98.85885885885885,1.1411411411411478,6660.0,5438.0,1222.0,3.313691676771862,51.21542330259849,47.90173162582663,4.4500818330605565
5.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,8325.0,7093.0,1232.0,4.322180041070765,51.63453478625314,47.312354745182375,5.757305194805195
6.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,9990.0,8749.0,1241.0,5.331277763897945,52.01173512154233,46.680457357644386,7.049959709911362
7.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,11655.0,10401.0,1254.0,6.3379380526120155,52.55658005029338,46.21864199768136,8.294258373205741
8.0,1664.0,1657.0,7.0,99.57932692307692,0.4206730769230802,13319.0,12058.0,1261.0,7.347645133967473,52.849958088851636,45.50231295488416,9.562252180808882
9.0,1665.0,1649.0,16.0,99.03903903903904,0.9609609609609606,14984.0,13707.0,1277.0,8.35247734709671,53.52053646269908,45.16805911560237,10.733750978856696
10.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,16649.0,15363.0,1286.0,9.36157506992389,53.897736797988266,44.53616172806437,11.946345256609643
11.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,18314.0,17021.0,1293.0,10.371891509807625,54.19111483654652,43.81922332673889,13.163959783449343
12.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,19979.0,18679.0,1300.0,11.38220794969136,54.48449287510478,43.102284925413414,14.368461538461538
13.0,1665.0,1649.0,16.0,99.03903903903904,0.9609609609609606,21644.0,20328.0,1316.0,12.387040162820599,55.15507124895222,42.76803108613162,15.446808510638299
14.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,23309.0,21981.0,1328.0,13.394309810062946,55.6580050293378,42.26369521927485,16.5519578313253
15.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,24974.0,23634.0,1340.0,14.401579457305294,56.16093880972338,41.75935935241809,17.63731343283582
16.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,26639.0,25290.0,1349.0,15.410677180132474,56.53813914501257,41.1274619648801,18.747220163083767
17.0,1665.0,1650.0,15.0,99.09909909909909,0.9009009009009077,28304.0,26940.0,1364.0,16.41611875178999,57.16680637049455,40.75068761870456,19.75073313782991
18.0,1665.0,1649.0,16.0,99.03903903903904,0.9609609609609606,29969.0,28589.0,1380.0,17.42095096491923,57.837384744341996,40.41643377942277,20.716666666666665
19.0,1665.0,1650.0,15.0,99.09909909909909,0.9009009009009077,31634.0,30239.0,1395.0,18.426392536576746,58.46605196982397,40.03965943324722,21.676702508960574
20.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,33299.0,31896.0,1403.0,19.436099617932204,58.8013411567477,39.365241538815496,22.73414112615823
21.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,34964.0,33554.0,1410.0,20.446416057815938,59.09471919530595,38.64830313749001,23.797163120567376
22.0,1664.0,1653.0,11.0,99.3389423076923,0.6610576923076934,36628.0,35207.0,1421.0,21.453685705058284,59.55574182732607,38.10205612226778,24.7762139338494
23.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,38293.0,36860.0,1433.0,22.460955352300633,60.05867560771165,37.59772025541102,25.722260990928124
24.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,39958.0,38518.0,1440.0,23.471271792184368,60.35205364626991,36.88078185408554,26.74861111111111
25.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,41623.0,40175.0,1448.0,24.480978873539826,60.68734283319363,36.20636395965381,27.745165745856355
