bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,5835.0,1649.0,4186.0,28.260497000856898,71.7395029991431,5835.0,1649.0,4186.0,0.28676066527083144,49.77407847800238,49.48731781273155,0.39393215480172
2.0,5834.0,5722.0,112.0,98.08021940349674,1.9197805965032586,11669.0,7371.0,4298.0,1.2818149567685255,51.10582639714625,49.824011440377724,1.714983713355049
3.0,5835.0,5747.0,88.0,98.49185946872322,1.50814053127678,17504.0,13118.0,4386.0,2.2812167416754194,52.15219976218787,49.87098302051245,2.9908800729594165
4.0,5834.0,5810.0,24.0,99.58861844360645,0.41138155639355034,23338.0,18928.0,4410.0,3.2915742099734975,52.43757431629013,49.146000106316635,4.292063492063492
5.0,5835.0,5785.0,50.0,99.14310197086547,0.856898029134527,29173.0,24713.0,4460.0,4.297584184862376,53.0321046373365,48.73452045247413,5.541031390134529
6.0,5834.0,5795.0,39.0,99.33150497086048,0.6684950291395211,35007.0,30508.0,4499.0,5.305333157114934,53.495838287752676,48.190505130637746,6.781062458324072
7.0,5835.0,5785.0,50.0,99.14310197086547,0.856898029134527,40842.0,36293.0,4549.0,6.311343132003812,54.09036860879905,47.77902547679523,7.978236975159375
8.0,5834.0,5807.0,27.0,99.53719574905725,0.462804250942753,46676.0,42100.0,4576.0,7.321178901092786,54.41141498216409,47.0902360810713,9.200174825174825
9.0,5835.0,5798.0,37.0,99.36589545844045,0.6341045415595516,52511.0,47898.0,4613.0,8.329449572554449,54.85136741973841,46.52191784718396,10.383264686754824
10.0,5834.0,5803.0,31.0,99.46863215632499,0.5313678436750138,58345.0,53701.0,4644.0,9.33858974269795,55.21997621878716,45.88138647608921,11.563522825150732
11.0,5835.0,5787.0,48.0,99.17737789203085,0.8226221079691527,64180.0,59488.0,4692.0,10.344947517059564,55.79072532699168,45.44577780993211,12.678601875532822
12.0,5834.0,5788.0,46.0,99.21151868357902,0.7884813164209845,70014.0,65276.0,4738.0,11.351479191157546,56.33769322235434,44.986214031196795,13.777121148163783
13.0,5835.0,5791.0,44.0,99.24592973436161,0.75407026563839,75849.0,71067.0,4782.0,12.358532564464632,56.86087990487515,44.502347340410516,14.861355081555834
14.0,5835.0,5788.0,47.0,99.19451585261353,0.8054841473864656,81684.0,76855.0,4829.0,13.365064238562613,57.41973840665874,44.05467416809613,15.91530337544005
15.0,5834.0,5790.0,44.0,99.24580047994515,0.7541995200548541,87518.0,82645.0,4873.0,14.371943712133332,57.942925089179546,43.570981377046216,16.959778370613584
