bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2501.0,662.0,1839.0,26.469412235105956,73.53058776489405,2501.0,662.0,1839.0,0.26860778394520723,51.12593828190158,50.857330497956376,0.35997824904839587
2.0,2500.0,2450.0,50.0,98.0,2.0,5001.0,3112.0,1889.0,1.2627000357061706,52.51598554350848,51.25328550780231,1.6474325039703548
3.0,2501.0,2457.0,44.0,98.24070371851259,1.7592962814874085,7502.0,5569.0,1933.0,2.259632551043594,53.739227133722544,51.47959458267895,2.8810139679255045
4.0,2500.0,2487.0,13.0,99.48,0.519999999999996,10002.0,8056.0,1946.0,3.2687376245658455,54.10063942174034,50.831901797174496,4.139773895169578
5.0,2501.0,2487.0,14.0,99.44022391043582,0.5597760895641812,12503.0,10543.0,1960.0,4.277842698088097,54.48985265499027,50.21200995690218,5.379081632653061
6.0,2500.0,2481.0,19.0,99.24,0.7600000000000051,15003.0,13024.0,1979.0,5.284513259973383,55.01807061440089,49.73355735442751,6.581101566447701
7.0,2501.0,2482.0,19.0,99.24030387844861,0.7596961215513858,17504.0,15506.0,1998.0,6.291589573798163,55.54628857381151,49.254699000013346,7.7607607607607605
8.0,2500.0,2481.0,19.0,99.24,0.7600000000000051,20004.0,17987.0,2017.0,7.2982601356834484,56.07450653322213,48.77624639753868,8.917699553792762
9.0,2501.0,2484.0,17.0,99.32027189124351,0.6797281087564926,22505.0,20471.0,2034.0,8.306147953387217,56.54712260216847,48.240974648781254,10.06440511307768
10.0,2500.0,2487.0,13.0,99.48,0.519999999999996,25005.0,22958.0,2047.0,9.315253026909469,56.90853489018627,47.5932818632768,11.215437225207621
11.0,2501.0,2484.0,17.0,99.32027189124351,0.6797281087564926,27506.0,25442.0,2064.0,10.323140844613237,57.38115095913261,47.05801011451938,12.3265503875969
12.0,2500.0,2484.0,16.0,99.36,0.6400000000000006,30006.0,27926.0,2080.0,11.331028662317006,57.82596608284682,46.49493742052981,13.425961538461538
13.0,2501.0,2488.0,13.0,99.48020791683327,0.5197920831667346,32507.0,30414.0,2093.0,12.340539487778752,58.18737837086461,45.84683888308585,14.531294792164358
